rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,metric_algorithm,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,status,failure_code,evaluation_backend,submitted_at
34,fox-srdc,Fox SRDC,pai,1404.5645249314261,Policy Capability Score,zoib,0.3178334360567652,Average Distance Between At-Fault Incidents,0.3178334360567652,avg_dist_between_incidents_at_fault,2.767003647456946,Distance to GT Trajectory,1404.5645249314261,1404.5645249314261,fox-driver-async-k5,cb73400d-66bf-44a9-a6ca-af613640e1b8,SUCCEEDED,,direct-p5,2026-08-12T08:20:38+00:00
35,alpain-autonomy,Alpain Autonomy,pai,1390.0031733373992,Policy Capability Score,zoib,0.5723468695185446,Average Distance Between At-Fault Incidents,0.5723468695185446,avg_dist_between_incidents_at_fault,2.601578321254207,Distance to GT Trajectory,1390.0031733373992,1390.0031733373992,abc-v2,1aacc33e-a28f-4105-9c87-06955f995b71,SUCCEEDED,,direct-p5,2026-08-10T07:11:37+00:00
36,team-cmlab,CMLAB,pai,1397.4899808106427,Policy Capability Score,zoib,0.26893186698019395,Average Distance Between At-Fault Incidents,0.26893186698019395,avg_dist_between_incidents_at_fault,2.89752836975473,Distance to GT Trajectory,1397.4899808106427,1397.4899808106427,base4w-v1,88c1731f-80dd-4158-861d-f47d32cd9e3a,SUCCEEDED,,direct-p5,2026-08-18T05:41:09+00:00
37,team-andrew-fox,Team Andrew S,pai,1388.657537266208,Policy Capability Score,zoib,0.3838963738668355,Average Distance Between At-Fault Incidents,0.3838963738668355,avg_dist_between_incidents_at_fault,3.020885008919629,Distance to GT Trajectory,1388.657537266208,1388.657537266208,v2b-g16b06,9f302592-5bf6-489d-968d-e00f93af55f9,SUCCEEDED,,direct-p5,2026-08-04T01:51:38+00:00
38,fox-srdc,Fox SRDC,pai,1363.4740936231044,Policy Capability Score,zoib,0.2969244686775922,Average Distance Between At-Fault Incidents,0.2969244686775922,avg_dist_between_incidents_at_fault,2.815028117267499,Distance to GT Trajectory,1363.4740936231044,1363.4740936231044,fox-driver-async,e6cbd675-580e-4234-9427-b6ad32041052,SUCCEEDED,,direct-p5,2026-08-11T03:31:38+00:00
39,team-andrew-fox,Team Andrew S,pai,1339.4199902012758,Policy Capability Score,zoib,0.3598836695157239,Average Distance Between At-Fault Incidents,0.3598836695157239,avg_dist_between_incidents_at_fault,2.589278050046056,Distance to GT Trajectory,1339.4199902012758,1339.4199902012758,v1b-band10,abfcb08f-bdfc-46ba-9f8b-3706a40016d1,SUCCEEDED,,direct-p5,2026-08-05T16:22:08+00:00
40,rick-g-ntu,Rick G NTU,pai,1342.2778821908628,Policy Capability Score,zoib,0.32283268398593024,Average Distance Between At-Fault Incidents,0.32283268398593024,avg_dist_between_incidents_at_fault,2.7832473003555394,Distance to GT Trajectory,1342.2778821908628,1342.2778821908628,ensemble-e11-v2,97e2037e-f35c-41ef-acdf-8dcd24b765c4,SUCCEEDED,,direct-p5,2026-07-31T17:44:35+00:00
41,magma,Team Magma,pai,1339.1641266752263,Policy Capability Score,zoib,0.44802026634867476,Average Distance Between At-Fault Incidents,0.44802026634867476,avg_dist_between_incidents_at_fault,2.253198943764232,Distance to GT Trajectory,1339.1641266752263,1339.1641266752263,ANNA-4a1a08f,7bddd523-45ac-46e1-ae85-e92430113bf5,SUCCEEDED,,direct-p5,2026-07-31T17:27:07+00:00
42,fox-srdc,Fox SRDC,pai,1348.1782408625158,Policy Capability Score,zoib,0.33468091969399194,Average Distance Between At-Fault Incidents,0.33468091969399194,avg_dist_between_incidents_at_fault,2.3313763346422074,Distance to GT Trajectory,1348.1782408625158,1348.1782408625158,fox-driver-async-ema-v2,44ed657b-d65c-43ba-bee0-8f309be81c80,SUCCEEDED,,direct-p5,2026-08-20T04:06:37+00:00
43,lastga,lastGA,pai,1323.4343977313183,Policy Capability Score,zoib,0.2955364533464206,Average Distance Between At-Fault Incidents,0.2955364533464206,avg_dist_between_incidents_at_fault,2.4776179241455085,Distance to GT Trajectory,1323.4343977313183,1323.4343977313183,vavam-b-139k-speedbound-20260730,7e7daac1-a03a-4151-8090-2788bd76271f,SUCCEEDED,,direct-p5,2026-07-30T05:15:34+00:00
44,team-rcy,Team RCY,pai,1324.0293648981344,Policy Capability Score,zoib,0.3245417028678316,Average Distance Between At-Fault Incidents,0.3245417028678316,avg_dist_between_incidents_at_fault,2.5660410500292397,Distance to GT Trajectory,1324.0293648981344,1324.0293648981344,rc-4,9660f9ed-4acf-4c00-9003-cd2e9e7a3e7f,SUCCEEDED,,direct-p5,2026-08-03T07:55:08+00:00
45,magma,Team Magma,pai,1326.0690967531311,Policy Capability Score,zoib,0.33353256466110576,Average Distance Between At-Fault Incidents,0.33353256466110576,avg_dist_between_incidents_at_fault,2.4713432077884114,Distance to GT Trajectory,1326.0690967531311,1326.0690967531311,ELSA-aa98886,cda26a31-ac4a-4f6d-a8fc-4f115b12b7cd,SUCCEEDED,,direct-p5,2026-07-31T12:01:35+00:00
46,team-alphamale,ILoveAlpamayo,pai,1291.2931304234924,Policy Capability Score,zoib,0.5806140256231951,Average Distance Between At-Fault Incidents,0.5806140256231951,avg_dist_between_incidents_at_fault,2.545357704009422,Distance to GT Trajectory,1291.2931304234924,1291.2931304234924,ilovealpamayo_v2_4frame,0f122965-fdfe-421a-b9a7-a356a6209208,SUCCEEDED,,direct-p5,2026-08-12T07:48:09+00:00
47,rick-g-ntu,Rick G NTU,pai,1292.183696333816,Policy Capability Score,zoib,0.26437704292568176,Average Distance Between At-Fault Incidents,0.26437704292568176,avg_dist_between_incidents_at_fault,2.985507349405944,Distance to GT Trajectory,1292.183696333816,1292.183696333816,ensemble-e11-v3,8eeb3462-c1f7-4e51-9542-b05b17b385fa,SUCCEEDED,,direct-p5,2026-08-12T08:50:37+00:00
48,foxconn-eason,foxconn-eason,pai,1280.2819236482887,Policy Capability Score,zoib,0.3027583217328352,Average Distance Between At-Fault Incidents,0.3027583217328352,avg_dist_between_incidents_at_fault,1.8503525209254243,Distance to GT Trajectory,1280.2819236482887,1280.2819236482887,smooth-gt-v1,934e1ee5-2573-4fc8-bf4b-482c47160651,SUCCEEDED,,direct-p5,2026-08-05T02:29:10+00:00
