rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,metric_algorithm,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,status,failure_code,evaluation_backend,submitted_at
1,na-la,NaLa,nuplan,1731.2303708622494,Policy Capability Score,zoib,3.357929800934357,Average Distance Between At-Fault Incidents,3.357929800934357,avg_dist_between_incidents_at_fault,0.9804824187258063,Distance to GT Trajectory,1731.2303708622494,1731.2303708622494,sub1,1bb06e8b-9d20-4018-98e1-5ba612e4e44c,SUCCEEDED,,direct-p5,2026-07-15T14:03:19+00:00
2,metamon,메타몽,nuplan,1731.2303708622494,Policy Capability Score,zoib,3.0878026518189836,Average Distance Between At-Fault Incidents,3.0878026518189836,avg_dist_between_incidents_at_fault,2.649452939277126,Distance to GT Trajectory,1731.2303708622494,1731.2303708622494,vavam-route-cudagraph-v5-nuplan-20260715,dc43667e-7d95-4d6c-82f5-1718354d50a2,SUCCEEDED,,direct-p5,2026-07-15T06:40:24+00:00
3,symphi,SymPhi,nuplan,1669.8222848109617,Policy Capability Score,zoib,1.668643023441868,Average Distance Between At-Fault Incidents,1.668643023441868,avg_dist_between_incidents_at_fault,3.4757546907975594,Distance to GT Trajectory,1669.8222848109617,1669.8222848109617,vavam-gain105-v1,6deafff8-12b1-44ff-a8b7-1b9b1e4b7237,SUCCEEDED,,direct-p5,2026-08-27T13:54:53+00:00
4,host,Host,nuplan,1600,Policy Capability Score,zoib,1.6808987005295144,Average Distance Between At-Fault Incidents,1.6808987005295144,avg_dist_between_incidents_at_fault,3.0713732515264813,Distance to GT Trajectory,1600,1600,policy1,8103e564-8d75-4ea2-8f87-e0c59ed052ab,SUCCEEDED,,direct-p5,2026-06-16T02:51:53+00:00
5,team-foxhihi,Team foxhihi,nuplan,1626.8249712772094,Policy Capability Score,zoib,1.6243899007034428,Average Distance Between At-Fault Incidents,1.6243899007034428,avg_dist_between_incidents_at_fault,3.0305246532471513,Distance to GT Trajectory,1626.8249712772094,1626.8249712772094,nu-driver-b1,9711d69f-66dc-47bb-a0ce-0584193a682f,SUCCEEDED,,direct-p5,2026-07-30T12:30:21+00:00
6,team-foxhihi,Team foxhihi,nuplan,1622.8433399617156,Policy Capability Score,zoib,1.5218307592702458,Average Distance Between At-Fault Incidents,1.5218307592702458,avg_dist_between_incidents_at_fault,3.045713334604625,Distance to GT Trajectory,1622.8433399617156,1622.8433399617156,nu-driver-b1s,1033b74c-7033-4e03-87c5-a36b6f4d160d,SUCCEEDED,,direct-p5,2026-07-31T13:37:51+00:00
7,magma,Team Magma,nuplan,1589.2158818966304,Policy Capability Score,zoib,1.52082587281464,Average Distance Between At-Fault Incidents,1.52082587281464,avg_dist_between_incidents_at_fault,3.057450841605928,Distance to GT Trajectory,1589.2158818966304,1589.2158818966304,v4EMA,eecf3fe0-f078-443a-8211-b40aaea89a3a,SUCCEEDED,,direct-p5,2026-07-30T10:02:21+00:00
8,symphi,SymPhi,nuplan,1587.3086430583126,Policy Capability Score,zoib,1.4301524502799483,Average Distance Between At-Fault Incidents,1.4301524502799483,avg_dist_between_incidents_at_fault,3.055213322253652,Distance to GT Trajectory,1587.3086430583126,1587.3086430583126,vavam-sample-v2,ff60b049-5924-4136-9d39-ffd70de9cb5f,SUCCEEDED,,direct-p5,2026-08-25T04:36:50+00:00
9,team-foxhihi,Team foxhihi,nuplan,1525.0850179023848,Policy Capability Score,zoib,4.663609268049079,Average Distance Between At-Fault Incidents,4.663609268049079,avg_dist_between_incidents_at_fault,1.6485240639379801,Distance to GT Trajectory,1525.0850179023848,1525.0850179023848,nu-driver-c4,788b5f9c-885f-4ed4-9a60-74c4ad0eb297,SUCCEEDED,,direct-p5,2026-08-17T03:50:24+00:00
10,team-foxhihi,Team foxhihi,nuplan,1489.858311285663,Policy Capability Score,zoib,5.690854629446165,Average Distance Between At-Fault Incidents,5.690854629446165,avg_dist_between_incidents_at_fault,1.1462592267457838,Distance to GT Trajectory,1489.858311285663,1489.858311285663,nu-driver-c6,82602a21-9431-4b4e-8972-b2331471056f,SUCCEEDED,,direct-p5,2026-08-25T03:52:54+00:00
11,cothlory,Cothlory,nuplan,1449.3933250475557,Policy Capability Score,zoib,3.894960528458672,Average Distance Between At-Fault Incidents,3.894960528458672,avg_dist_between_incidents_at_fault,0.5628513396470723,Distance to GT Trajectory,1449.3933250475557,1449.3933250475557,v1,0e5a9810-5127-466b-8882-247b9838d575,SUCCEEDED,,direct-p5,2026-07-02T10:48:51+00:00
12,team-foxhihi,Team foxhihi,nuplan,1373.122562517534,Policy Capability Score,zoib,6.014441060616411,Average Distance Between At-Fault Incidents,6.014441060616411,avg_dist_between_incidents_at_fault,0.8457911421007035,Distance to GT Trajectory,1373.122562517534,1373.122562517534,nu-driver-c1,6dafa568-92af-4f4f-b68c-300f5eb0b1d2,SUCCEEDED,,direct-p5,2026-08-10T03:27:21+00:00
13,team-foxhihi,Team foxhihi,nuplan,1387.104650425632,Policy Capability Score,zoib,5.279030138180213,Average Distance Between At-Fault Incidents,5.279030138180213,avg_dist_between_incidents_at_fault,0.855740329961652,Distance to GT Trajectory,1387.104650425632,1387.104650425632,nu-driver-c2,8f429006-a5d4-40c6-9d83-b80c7e20f47c,SUCCEEDED,,direct-p5,2026-08-10T05:59:51+00:00
