rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,metric_algorithm,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,status,failure_code,evaluation_backend,submitted_at
56,team-alphamale,ILoveAlpamayo,pai,1263.878583304327,Policy Capability Score,zoib,0.5013436486117773,Average Distance Between At-Fault Incidents,0.5013436486117773,avg_dist_between_incidents_at_fault,2.6179639751388146,Distance to GT Trajectory,1263.878583304327,1263.878583304327,ilovealpamayo_v1,7cea3c8a-c67a-41b1-bc6c-10ae2a9744e0,SUCCEEDED,,direct-p5,2026-08-12T07:13:40+00:00
57,openpilot-pai,openpilot pai,pai,1232.9023965953945,Policy Capability Score,zoib,1.0455363601097578,Average Distance Between At-Fault Incidents,1.0455363601097578,avg_dist_between_incidents_at_fault,1.2000204636591032,Distance to GT Trajectory,1232.9023965953945,1232.9023965953945,purevision-op0111-20260813-v2,b7314a40-fc9f-421e-815d-c29f4153e9b9,SUCCEEDED,,direct-p5,2026-08-13T16:28:37+00:00
58,team-foxhihi,Team foxhihi,pai,1254.6800631754359,Policy Capability Score,zoib,0.26837609690894176,Average Distance Between At-Fault Incidents,0.26837609690894176,avg_dist_between_incidents_at_fault,3.0057435718522942,Distance to GT Trajectory,1254.6800631754359,1254.6800631754359,pai-driver-b1p,43a6a632-a407-48db-a148-b988ed0f2a23,SUCCEEDED,,direct-p5,2026-08-05T04:01:10+00:00
59,foxconn-eason,foxconn-eason,pai,1236.2332026909905,Policy Capability Score,zoib,0.4032634481426758,Average Distance Between At-Fault Incidents,0.4032634481426758,avg_dist_between_incidents_at_fault,2.085750335085387,Distance to GT Trajectory,1236.2332026909905,1236.2332026909905,tl-ss-smooth-v1,d419c3bf-80ee-43cb-a950-3ac7d3673d35,SUCCEEDED,,direct-p5,2026-08-04T04:33:39+00:00
60,jongam,Team jongam,pai,1229.8928527685937,Policy Capability Score,zoib,0.7194292685480141,Average Distance Between At-Fault Incidents,0.7194292685480141,avg_dist_between_incidents_at_fault,1.7721546577329828,Distance to GT Trajectory,1229.8928527685937,1229.8928527685937,jm-submit-20260819-v3,97986870-3704-4279-9296-e587d611c5e0,SUCCEEDED,,direct-p5,2026-08-19T09:36:38+00:00
61,foxconn-eason,foxconn-eason,pai,1215.8708187214675,Policy Capability Score,zoib,0.42065220698561523,Average Distance Between At-Fault Incidents,0.42065220698561523,avg_dist_between_incidents_at_fault,1.929812751882661,Distance to GT Trajectory,1215.8708187214675,1215.8708187214675,smooth-brake-holdstop-v1,fdec71a3-a957-49b5-9e92-e7b9e7cc371f,SUCCEEDED,,direct-p5,2026-08-04T09:33:07+00:00
62,jongam,Team jongam,pai,1209.8919447037374,Policy Capability Score,zoib,0.4185306388418221,Average Distance Between At-Fault Incidents,0.4185306388418221,avg_dist_between_incidents_at_fault,1.838531458535266,Distance to GT Trajectory,1209.8919447037374,1209.8919447037374,w8-bf16-lm-head-20260818-v2,e3e63eda-7e83-4f5c-96b6-ffb46f58285a,SUCCEEDED,,direct-p5,2026-08-18T16:14:40+00:00
63,foxconn-eason,foxconn-eason,pai,1202.1854761332886,Policy Capability Score,zoib,0.4294925297220088,Average Distance Between At-Fault Incidents,0.4294925297220088,avg_dist_between_incidents_at_fault,1.9878399368672695,Distance to GT Trajectory,1202.1854761332886,1202.1854761332886,brake-holdstop-v1,524e660e-ac6c-43ae-a044-4349ac29c13c,SUCCEEDED,,direct-p5,2026-08-06T00:39:09+00:00
64,simforge-synthetic,Simforge AI,pai,1191.748250351945,Policy Capability Score,zoib,0.7354464171903203,Average Distance Between At-Fault Incidents,0.7354464171903203,avg_dist_between_incidents_at_fault,1.9486536215767667,Distance to GT Trajectory,1191.748250351945,1191.748250351945,sub-20260816a,bc3078c1-f67c-4560-a28f-65ab5f21ed32,SUCCEEDED,,direct-p5,2026-08-16T22:08:09+00:00
65,alpain-autonomy,Alpain Autonomy,pai,1226.905272847774,Policy Capability Score,zoib,0.30069443447640193,Average Distance Between At-Fault Incidents,0.30069443447640193,avg_dist_between_incidents_at_fault,2.5167081219851815,Distance to GT Trajectory,1226.905272847774,1226.905272847774,transfuser-v8,e3e00fd1-5212-44d7-a8cd-981923282114,SUCCEEDED,,direct-p5,2026-08-05T08:40:37+00:00
