rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,policy_capability_score_lo,policy_capability_score_hi,policy_capability_score_spread,policy_capability_score_interval_confidence_level,policy_capability_score_interval_label,metric_algorithm,average_scene_score,average_scene_score_label,rank_lo,rank_hi,rank_spread,rank_spread_label,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,benchmark_id,record_kind,status,failure_code,evaluation_backend,submitted_at
1,py123d-garage,py123d-garage (host),nuplan,1664.613823271875,Policy Capability Score,1598.0412085487153,1731.1864379950348,133.1452294463195,0.95,Policy Capability Score (95% interval),zoib,0.888288143271257,Average Scene Score,1,2,1,Rank Spread,0.3729043463775304,Average Distance Between At-Fault Incidents,0.3729043463775304,avg_dist_between_incidents_at_fault,0.6593757705221148,Distance to GT Trajectory,1664.613823271875,1664.613823271875,021-nuplan-0062-v1,d7e190df-ceaf-4ec3-8ce8-49571baaec93,,submission,SUCCEEDED,,direct-p5,2026-09-12T07:11:08+00:00
2,py123d-garage,py123d-garage (host),nuplan,1600,Policy Capability Score,1535.2116714156634,1664.7883285843366,129.57665716867314,0.95,Policy Capability Score (95% interval),zoib,0.8748046294060066,Average Scene Score,1,2,1,Rank Spread,0.3389699891434003,Average Distance Between At-Fault Incidents,0.3389699891434003,avg_dist_between_incidents_at_fault,0.7429883750166048,Distance to GT Trajectory,1600,1600,007-nuplan-0062-v1,74fd4513-845c-40cd-9749-e73a12ef74ed,,submission,SUCCEEDED,,direct-p5,2026-09-04T14:43:34+00:00
3,py123d-garage,py123d-garage (host),nuplan,1506.861579400961,Policy Capability Score,1441.2505681889038,1572.4725906130186,131.2220224241148,0.95,Policy Capability Score (95% interval),zoib,0.8580337123257042,Average Scene Score,3,4,1,Rank Spread,0.3896918638845838,Average Distance Between At-Fault Incidents,0.3896918638845838,avg_dist_between_incidents_at_fault,0.7953412073723641,Distance to GT Trajectory,1506.861579400961,1506.861579400961,022-nuplan-0062-v1,92865d00-d03e-479c-b109-dce4c1e32780,,submission,SUCCEEDED,,direct-p5,2026-09-11T22:23:06+00:00
4,py123d-garage,py123d-garage (host),nuplan,1451.195109626704,Policy Capability Score,1397.0128937044933,1505.3773255489143,108.364431844421,0.95,Policy Capability Score (95% interval),zoib,0.8479082859269473,Average Scene Score,3,5,2,Rank Spread,0.3257337981889073,Average Distance Between At-Fault Incidents,0.3257337981889073,avg_dist_between_incidents_at_fault,0.7746859082749524,Distance to GT Trajectory,1451.195109626704,1451.195109626704,014-nuplan-0014-v1,1a7f9e1a-4295-478e-b9a0-194c04de62a8,,submission,SUCCEEDED,,direct-p5,2026-09-07T00:27:06+00:00
5,host,Host (host),nuplan,1368.3537291937446,Policy Capability Score,1317.8488042986762,1418.8586540888127,101.00984979013651,0.95,Policy Capability Score (95% interval),zoib,0.7994779159707294,Average Scene Score,5,7,2,Rank Spread,0.2575872102261397,Average Distance Between At-Fault Incidents,0.2575872102261397,avg_dist_between_incidents_at_fault,1.1525150558108226,Distance to GT Trajectory,1368.3537291937446,1368.3537291937446,go_straight_with_delay_v2,60321101-cf79-4705-89d0-71662737a0e0,,submission,SUCCEEDED,,direct-p5,2026-09-01T20:37:59+00:00
6,host,Host (host),nuplan,1368.7227587254465,Policy Capability Score,1317.2168139750518,1420.228703475841,103.01188950078927,0.95,Policy Capability Score (95% interval),zoib,0.7994779159707294,Average Scene Score,5,7,2,Rank Spread,0.2575872102261396,Average Distance Between At-Fault Incidents,0.2575872102261396,avg_dist_between_incidents_at_fault,1.1525150558108226,Distance to GT Trajectory,1368.7227587254465,1368.7227587254465,go_straight_with_delay_v2,7a0dcd35-bca1-4a04-9ff4-5efccbe96171,,submission,SUCCEEDED,,direct-p5,2026-09-02T12:30:33+00:00
7,py123d-garage,py123d-garage (host),nuplan,1355.2665026778482,Policy Capability Score,1303.9984680138439,1406.5345373418522,102.53606932800835,0.95,Policy Capability Score (95% interval),zoib,0.8211383686036887,Average Scene Score,5,7,2,Rank Spread,0.20380579349118721,Average Distance Between At-Fault Incidents,0.20380579349118721,avg_dist_between_incidents_at_fault,1.130861315837054,Distance to GT Trajectory,1355.2665026778482,1355.2665026778482,017-nuplan-0014-v1,68f4415c-ccd1-48c5-ab7c-a3b9a2745ca7,,submission,SUCCEEDED,,direct-p5,2026-09-07T21:13:35+00:00
8,opendrivelab-org,OpenDriveLab-Org (host),nuplan,1110.6853513365597,Policy Capability Score,1069.733356923324,1151.6373457497955,81.9039888264715,0.95,Policy Capability Score (95% interval),zoib,0.7717404563043919,Average Scene Score,8,9,1,Rank Spread,0.2672973850400068,Average Distance Between At-Fault Incidents,0.2672973850400068,avg_dist_between_incidents_at_fault,2.15787865583756,Distance to GT Trajectory,1110.6853513365597,1110.6853513365597,simscale-diffusiondrive-release-v0,85d42611-2eec-40ac-afbf-a5271d609269,,submission,SUCCEEDED,,direct-p5,2026-09-15T11:19:32+00:00
9,team-lucifer,Lucifer AI,nuplan,1039.838258041502,Policy Capability Score,1002.5882186434833,1077.0882974395208,74.50007879603754,0.95,Policy Capability Score (95% interval),zoib,0.7617803029539043,Average Scene Score,9,11,2,Rank Spread,0.6258684278244131,Average Distance Between At-Fault Incidents,0.6258684278244131,avg_dist_between_incidents_at_fault,1.8465929520734057,Distance to GT Trajectory,1039.838258041502,1039.838258041502,wajepa-s2-20260904,1340e69a-ac0f-4a1f-96a3-507b315c51aa,,submission,SUCCEEDED,,direct-p5,2026-09-10T06:09:06+00:00
10,host,Host (host),nuplan,1050.6138614705544,Policy Capability Score,1016.1504919896917,1085.077230951417,68.92673896172539,0.95,Policy Capability Score (95% interval),zoib,0.7346473146798619,Average Scene Score,9,11,2,Rank Spread,0.2950190460738194,Average Distance Between At-Fault Incidents,0.2950190460738194,avg_dist_between_incidents_at_fault,2.280350012888658,Distance to GT Trajectory,1050.6138614705544,1050.6138614705544,policy5,e4e7b293-b976-452b-b962-a1d839c4119d,,submission,SUCCEEDED,,direct-p5,2026-09-02T21:40:31+00:00
