trial,score,feasible,collisions,corridor_exits,progress,d2gt,seconds,long_position_weight,acceleration_weight,rel_acceleration_weight,blend
1,0.8441328381066038,True,2.0,3.0,0.8567162889672078,1.1961253882836518,433.3098543819942,0.7929390274055544,0.28515576776453533,0.4112824784672442,0.06628289963675796
2,0.8284656805195983,True,2.0,4.0,0.856966393856268,1.2193710199515486,429.4118158640049,1.5631516214308774,1.0032467676799057,2.108074863512461,0.22767419618403806
3,0.8291438018200934,True,2.0,4.0,0.8636445242673589,1.1884627976342994,431.75298917999316,1.0741791245463177,0.2259078958808058,1.8319777621012705,0.08841543763939248
4,0.8360002697617643,True,2.0,4.0,0.8768255180775448,1.2289323699208803,432.477715985995,0.18571050494090396,0.5208274230536569,1.1367332934810883,0.1846595159776903
5,0.8410520824403451,True,2.0,2.0,0.8332142607533045,1.0875609038651066,428.92669177601056,1.7267286229514647,1.5580747113662303,0.16490616150599247,0.07960419501097418
6,0.8149822960091283,False,3.0,4.0,0.860040156202934,1.3457643628968365,429.24299657699885,2.4050764747082662,3.6603061161391928,7.997057111317196,0.03883598598347253
7,0.8389496993607968,True,2.0,4.0,0.8829475197561338,1.1762005641910418,434.0038837519969,0.2178533009893539,1.9032951176666693,3.5754268700209435,0.06195245292765964
8,0.8625229926935384,True,1.0,4.0,0.8862161543547372,1.2178639476348605,428.39398598000116,0.16902461196379606,0.1700846454378678,6.691504654866006,0.012906128344572377
9,0.8313471592072494,True,2.0,4.0,0.8694205018713562,1.1566521769179687,431.09571184900415,0.3424691126064628,0.727652513303498,0.5662972059542328,0.16013160801144644
10,0.8270326422274196,True,2.0,3.0,0.8411556987731327,1.1412778652807885,433.0347698540136,3.9052864002509073,0.3559586177939709,0.9490936442660121,0.10412732506646863
11,0.8298254467594699,True,2.0,4.0,0.8611465217134087,1.1556138934308715,426.82151750600315,1.2201825617063047,4.127643538254652,1.34888054172352,0.008595416982724487
12,0.8495630383762679,True,2.0,3.0,0.8742200909967456,1.1693378658800715,427.92157302598935,0.45108718525763053,0.4154258992051722,2.8923587698177267,0.03389589870087195
13,0.816007226903168,False,3.0,4.0,0.8657360934460673,1.179779746115437,431.30539997899905,0.26665397393289136,0.12161713155157797,0.3020015554283096,0.12490797162811243
14,0.8315876071231082,True,2.0,4.0,0.8586066757744543,1.1582981429362196,429.4517175380024,1.9893719473922031,0.06799624321975518,5.363934452769749,0.2402408871122254
15,0.8323904853315099,True,2.0,4.0,0.8716443789748133,1.2097134361459614,429.19413067800633,0.1104949600948388,0.08751769779002301,0.15346887169370388,0.22356837408080033
16,0.8332623509844889,True,2.0,4.0,0.8708208153940781,1.198783219667612,428.54953807700076,0.5590992549279421,0.8950769714144146,4.400240250479548,0.2029375142822997
17,0.8250618297417308,True,2.0,4.0,0.853306917063194,1.1680264592032186,427.7940485500003,0.6765348201142523,0.055413051195423314,0.22084078587093423,0.17120062377421735
18,0.8211754968604815,True,2.0,2.0,0.8055233931253885,1.0239044049264718,427.7468564409937,3.3074127081874605,0.1429875633497116,0.11982337079367303,0.19489339195344205
19,0.8323126526989726,True,2.0,4.0,0.8713625235947118,1.1698263335958536,429.93757441599155,0.3736490225719381,2.989345109691469,0.7837358733049069,0.13398270134972506
20,0.8205950712869512,False,3.0,4.0,0.8746627538180395,1.235241700399583,433.2009947089973,0.13698980847333347,2.1516833183583355,0.35018439154961517,0.14020127238616983
21,0.8579942003682547,True,2.0,3.0,0.8835542697916267,1.1252125867459766,429.0459103900066,0.18989326755293612,0.18015806107146046,5.0857976809594225,0.014784402282770143
22,0.8631986378210375,True,1.0,4.0,0.892210851107399,1.2465257447109246,433.46527421199426,0.12546871683836183,0.1081971305304023,8.466638239300268,0.030127715053508104
23,0.8563119458692233,True,2.0,3.0,0.8829510648254503,1.149080975346043,428.8008086129994,0.18463316998338558,0.10846583938461864,3.9450732303243643,0.007394765706455964
24,0.8589694808676502,True,1.0,4.0,0.8924546106456464,1.285008903624086,427.8484433709964,0.11671766835998616,0.3396738632736317,9.766403954627457,0.0009456111021912076
25,0.8619617636878805,True,1.0,4.0,0.8907076733486072,1.254166805926321,430.0190666690032,0.10635991431616856,0.535515430241741,5.734569195371813,0.009395632177716952
26,0.8642588743517067,True,1.0,4.0,0.8933641949932581,1.2192191766026246,432.3348080020078,0.11869513829101759,0.05438019656915912,6.919713521088172,0.03656698801715989
27,0.8627861700422207,True,1.0,4.0,0.8869934147431162,1.216436057442735,431.30134970499785,0.20231762030463088,0.08558277974094027,9.799060408656592,0.04745219575226949
28,0.8632963715236347,True,1.0,4.0,0.8918189755959377,1.2231117102986906,427.60526607499924,0.14880213867464928,0.06397524480096058,8.034789530726094,0.036636712270520774
29,0.8623169023499353,True,1.0,4.0,0.8882009906869117,1.2252153623713185,433.2222518849885,0.12877673601503994,0.07339635121235505,5.228068104889937,0.04361736698815466
30,0.8601855854631659,True,1.0,4.0,0.8816528954246097,1.2083465578645214,429.41981467399455,0.26090496417812953,0.19652557950323135,8.371572674833747,0.06545204240251651
31,0.863172193863453,True,1.0,4.0,0.8897141764247738,1.2391448162556284,429.92941556399455,0.10741212697848387,0.12339895371662946,5.057208775475872,0.0752600314450952
32,0.8634048624890998,True,1.0,4.0,0.8898474713076928,1.2268968514672707,428.1375616389996,0.13201436144732126,0.08343441965779083,7.6600341262542155,0.09459167083446013
33,0.857396227079424,True,1.0,4.0,0.8826475982387393,1.1487096159955195,429.9467663499963,0.1583822712158239,0.07451675885424129,4.387467522986939,0.09848325103440207
34,0.8592531974833655,True,1.0,4.0,0.887204325312632,1.1614758457929493,430.5608313489938,0.10972778266513858,0.05377403916120632,3.4278732106889165,0.009195374720686319
35,0.863859710618404,True,1.0,4.0,0.893788764095521,1.253711743375542,429.5974679130013,0.1194867776367367,0.05404746898404595,9.47162269296883,0.008997435097548405
36,0.8422355058165932,True,2.0,4.0,0.883568684575454,1.1726637715813133,431.5091898459941,0.25245262878346025,0.05674167672118252,6.238251621487592,0.02435153337784497
