rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,policy_capability_score_lo,policy_capability_score_hi,policy_capability_score_spread,policy_capability_score_interval_confidence_level,policy_capability_score_interval_label,metric_algorithm,average_scene_score,average_scene_score_label,rank_lo,rank_hi,rank_spread,rank_spread_label,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,benchmark_id,record_kind,status,failure_code,evaluation_backend,submitted_at
12,py123d-garage,py123d-garage (host),pai,1911,Policy Capability Score,1873.2590551868516,1948.2262689746324,74.96721378778079,0.95,Policy Capability Score (95% interval),zoib,0.4219078120885576,Average Scene Score,6,18,12,Rank Spread,0.22296924313821415,Average Distance Between At-Fault Incidents,0.22296924313821415,avg_dist_between_incidents_at_fault,1.7929414485165363,Distance to GT Trajectory,1911,1911,015-pai-0030-v1,06c4f956-1d5d-4637-a643-4b0a645edd36,,submission,SUCCEEDED,,direct-p5,2026-09-07T12:19:01+00:00
13,simforge-synthetic,Simforge AI,pai,1901,Policy Capability Score,1864.050178191497,1937.624770231684,73.57459204018687,0.95,Policy Capability Score (95% interval),zoib,0.39629069682437623,Average Scene Score,7,19,12,Rank Spread,0.2621728585295395,Average Distance Between At-Fault Incidents,0.2621728585295395,avg_dist_between_incidents_at_fault,2.2360844070328874,Distance to GT Trajectory,1901,1901,sub-20260816a,97acce59-51e7-4ba8-be85-5c72c1ea6f52,,submission,SUCCEEDED,,direct-p5,2026-09-21T15:39:10+00:00
14,py123d-garage,py123d-garage (host),pai,1897,Policy Capability Score,1862.332258066098,1931.1262120167316,68.79395395063375,0.95,Policy Capability Score (95% interval),zoib,0.4364967772159054,Average Scene Score,8,19,11,Rank Spread,0.24285456929640975,Average Distance Between At-Fault Incidents,0.24285456929640975,avg_dist_between_incidents_at_fault,1.6383169780505675,Distance to GT Trajectory,1897,1897,014-pai-0014-v1,f1973a09-437c-48a2-ba36-465ba859b769,,submission,SUCCEEDED,,direct-p5,2026-09-06T23:54:37+00:00
15,py123d-garage,py123d-garage (host),pai,1871,Policy Capability Score,1835.8670843883322,1905.4657724485553,69.59868806022314,0.95,Policy Capability Score (95% interval),zoib,0.42023194885333626,Average Scene Score,12,19,7,Rank Spread,0.2296798784010375,Average Distance Between At-Fault Incidents,0.2296798784010375,avg_dist_between_incidents_at_fault,1.7129194853548428,Distance to GT Trajectory,1871,1871,017-pai-0014-v1,615fea1f-cad6-4ab0-89ca-d6d901459f6e,,submission,SUCCEEDED,,direct-p5,2026-09-08T00:23:05+00:00
16,py123d-garage,py123d-garage (host),pai,1897,Policy Capability Score,1859.8854304674032,1933.775660346746,73.89022987934277,0.95,Policy Capability Score (95% interval),zoib,0.41954673710707674,Average Scene Score,7,19,12,Rank Spread,0.22246864533964578,Average Distance Between At-Fault Incidents,0.22246864533964578,avg_dist_between_incidents_at_fault,1.8141745504237907,Distance to GT Trajectory,1897,1897,016-pai-0014-v1,ac39263b-2329-459b-adb4-1d69b132bdf7,,submission,SUCCEEDED,,direct-p5,2026-09-07T15:32:08+00:00
17,py123d-garage,py123d-garage (host),pai,1897,Policy Capability Score,1861.2434858880526,1933.6552820186757,72.41179613062309,0.95,Policy Capability Score (95% interval),zoib,0.42207529420589807,Average Scene Score,8,19,11,Rank Spread,0.2167218019192644,Average Distance Between At-Fault Incidents,0.2167218019192644,avg_dist_between_incidents_at_fault,1.6980504427350576,Distance to GT Trajectory,1897,1897,016-pai-0030-v1,20d66c94-ba6b-4751-88ba-e748c42910f7,,submission,SUCCEEDED,,direct-p5,2026-09-07T20:41:37+00:00
18,py123d-garage,py123d-garage (host),pai,1874,Policy Capability Score,1840.4172229460514,1908.3954942362395,67.9782712901881,0.95,Policy Capability Score (95% interval),zoib,0.4077832168855785,Average Scene Score,12,19,7,Rank Spread,0.21378972903347557,Average Distance Between At-Fault Incidents,0.21378972903347557,avg_dist_between_incidents_at_fault,1.53836317630263,Distance to GT Trajectory,1874,1874,006-pai-0014-v7,37496f79-2cd5-4998-807e-be56a730b515,,submission,SUCCEEDED,,direct-p5,2026-09-04T11:03:32+00:00
19,team-zyt,ZYT,pai,1887,Policy Capability Score,1843.9604122505468,1929.0704831687854,85.11007091823853,0.95,Policy Capability Score (95% interval),zoib,0.4118202539902238,Average Scene Score,8,19,11,Rank Spread,0.18999036174081774,Average Distance Between At-Fault Incidents,0.18999036174081774,avg_dist_between_incidents_at_fault,2.3052277735607243,Distance to GT Trajectory,1887,1887,test_0831,587a96cb-2c1c-4625-ab8f-8939abf246eb,,submission,SUCCEEDED,,direct-p5,2026-09-16T16:30:31+00:00
20,alpain-autonomy,Alpain Autonomy (host),pai,1798,Policy Capability Score,1758.5296800634621,1838.2559026389415,79.72622257547937,0.95,Policy Capability Score (95% interval),zoib,0.39545221819033866,Average Scene Score,20,23,3,Rank Spread,0.27799757236720535,Average Distance Between At-Fault Incidents,0.27799757236720535,avg_dist_between_incidents_at_fault,2.672930026885268,Distance to GT Trajectory,1798,1798,mars-v1-10hz,3c023344-0ce8-41d8-89f9-93ff1f1ae629,,submission,SUCCEEDED,,direct-p5,2026-09-03T10:23:31+00:00
21,alpain-autonomy,Alpain Autonomy (host),pai,1785,Policy Capability Score,1744.3715141109024,1825.4367359757669,81.0652218648645,0.95,Policy Capability Score (95% interval),zoib,0.3579855847420243,Average Scene Score,20,24,4,Rank Spread,0.2225409073504651,Average Distance Between At-Fault Incidents,0.2225409073504651,avg_dist_between_incidents_at_fault,2.7372033117759957,Distance to GT Trajectory,1785,1785,mars-v2-10hz,a48099c2-87c9-4ec9-8cc5-0d470d78e0b1,,submission,SUCCEEDED,,direct-p5,2026-09-03T13:38:04+00:00
