rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,policy_capability_score_lo,policy_capability_score_hi,policy_capability_score_spread,policy_capability_score_interval_confidence_level,policy_capability_score_interval_label,metric_algorithm,average_scene_score,average_scene_score_label,rank_lo,rank_hi,rank_spread,rank_spread_label,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,benchmark_id,record_kind,status,failure_code,evaluation_backend,submitted_at
11,py123d-garage,py123d-garage (host),nuplan,1483,Policy Capability Score,1420.192435135902,1545.8375605328017,125.64512539689963,0.95,Policy Capability Score (95% interval),zoib,0.8580337123257042,Average Scene Score,10,12,2,Rank Spread,0.3896918638845838,Average Distance Between At-Fault Incidents,0.3896918638845838,avg_dist_between_incidents_at_fault,0.7953412073723641,Distance to GT Trajectory,1483,1483,022-nuplan-0062-v1,92865d00-d03e-479c-b109-dce4c1e32780,,submission,SUCCEEDED,,direct-p5,2026-09-11T22:23:06+00:00
12,py123d-garage,py123d-garage (host),nuplan,1403,Policy Capability Score,1343.3610223852615,1463.5379737165722,120.17695133131065,0.95,Policy Capability Score (95% interval),zoib,0.8479082859269473,Average Scene Score,11,12,1,Rank Spread,0.3257337981889073,Average Distance Between At-Fault Incidents,0.3257337981889073,avg_dist_between_incidents_at_fault,0.7746859082749524,Distance to GT Trajectory,1403,1403,014-nuplan-0014-v1,1a7f9e1a-4295-478e-b9a0-194c04de62a8,,submission,SUCCEEDED,,direct-p5,2026-09-07T00:27:06+00:00
13,host,Host (host),nuplan,1308,Policy Capability Score,1257.2664742074394,1359.1953920998903,101.92891789245095,0.95,Policy Capability Score (95% interval),zoib,0.7994779159707294,Average Scene Score,13,16,3,Rank Spread,0.2575872102261397,Average Distance Between At-Fault Incidents,0.2575872102261397,avg_dist_between_incidents_at_fault,1.1525150558108226,Distance to GT Trajectory,1308,1308,go_straight_with_delay_v2,60321101-cf79-4705-89d0-71662737a0e0,,submission,SUCCEEDED,,direct-p5,2026-09-01T20:37:59+00:00
14,host,Host (host),nuplan,1308,Policy Capability Score,1256.5701793919552,1358.543248588217,101.9730691962618,0.95,Policy Capability Score (95% interval),zoib,0.7994779159707294,Average Scene Score,13,16,3,Rank Spread,0.2575872102261396,Average Distance Between At-Fault Incidents,0.2575872102261396,avg_dist_between_incidents_at_fault,1.1525150558108226,Distance to GT Trajectory,1308,1308,go_straight_with_delay_v2,7a0dcd35-bca1-4a04-9ff4-5efccbe96171,,submission,SUCCEEDED,,direct-p5,2026-09-02T12:30:33+00:00
15,vf-team,VF-Team,nuplan,1251,Policy Capability Score,1208.2463334278,1294.3457374129525,86.09940398515255,0.95,Policy Capability Score (95% interval),zoib,0.8909446616758648,Average Scene Score,14,17,3,Rank Spread,0.5926536575977113,Average Distance Between At-Fault Incidents,0.5926536575977113,avg_dist_between_incidents_at_fault,1.0281185055666262,Distance to GT Trajectory,1251,1251,v2.1,69193bce-611c-4380-a66e-59647660655a,,submission,SUCCEEDED,,direct-p5,2026-09-21T08:40:34+00:00
16,py123d-garage,py123d-garage (host),nuplan,1294,Policy Capability Score,1240.6808788790345,1347.5516866919747,106.87080781294026,0.95,Policy Capability Score (95% interval),zoib,0.8211383686036887,Average Scene Score,13,17,4,Rank Spread,0.20380579349118721,Average Distance Between At-Fault Incidents,0.20380579349118721,avg_dist_between_incidents_at_fault,1.130861315837054,Distance to GT Trajectory,1294,1294,017-nuplan-0014-v1,68f4415c-ccd1-48c5-ab7c-a3b9a2745ca7,,submission,SUCCEEDED,,direct-p5,2026-09-07T21:13:35+00:00
17,team-vt,Team VT,nuplan,1264,Policy Capability Score,1214.0723772356637,1313.9722216381992,99.89984440253556,0.95,Policy Capability Score (95% interval),zoib,0.7824853910270468,Average Scene Score,13,17,4,Rank Spread,0.14549909681764703,Average Distance Between At-Fault Incidents,0.14549909681764703,avg_dist_between_incidents_at_fault,1.8517610126939092,Distance to GT Trajectory,1264,1264,drivor-track2-20260730-smokepass-cam4-0b776bf,7c81ab6c-2dda-4a0d-90fa-005a89aa2954,,submission,SUCCEEDED,,direct-p5,2026-09-21T12:25:41+00:00
18,py123d-garage,py123d-garage (host),nuplan,1133,Policy Capability Score,1084.3477902528014,1182.1476368611116,97.79984660831019,0.95,Policy Capability Score (95% interval),zoib,0.7797796024846381,Average Scene Score,18,22,4,Rank Spread,0.42551225875293675,Average Distance Between At-Fault Incidents,0.42551225875293675,avg_dist_between_incidents_at_fault,1.5975058055104432,Distance to GT Trajectory,1133,1133,039-nuplan-0062-v1,90ae17c9-3906-4630-b105-f7942a3ce911,,submission,SUCCEEDED,,direct-p5,2026-09-17T04:42:01+00:00
19,py123d-garage,py123d-garage (host),nuplan,1117,Policy Capability Score,1070.8193290090794,1162.8857617075096,92.06643269843016,0.95,Policy Capability Score (95% interval),zoib,0.7728786979548272,Average Scene Score,18,23,5,Rank Spread,0.39919172347871784,Average Distance Between At-Fault Incidents,0.39919172347871784,avg_dist_between_incidents_at_fault,1.6139002206326318,Distance to GT Trajectory,1117,1117,041-nuplan-0062-v1,37cd2328-0d28-4845-96da-5cfc13238b84,,submission,SUCCEEDED,,direct-p5,2026-09-17T05:08:01+00:00
20,py123d-garage,py123d-garage (host),nuplan,1119,Policy Capability Score,1070.1542115601922,1168.479670724807,98.32545916461481,0.95,Policy Capability Score (95% interval),zoib,0.7707100541399601,Average Scene Score,18,23,5,Rank Spread,0.37529275337970835,Average Distance Between At-Fault Incidents,0.37529275337970835,avg_dist_between_incidents_at_fault,1.5912437272286313,Distance to GT Trajectory,1119,1119,040-nuplan-0062-v1,09fcaae1-f4a0-42f4-bfae-3e0058d78698,,submission,SUCCEEDED,,direct-p5,2026-09-17T06:02:33+00:00
21,py123d-garage,py123d-garage (host),nuplan,1123,Policy Capability Score,1075.7914204956119,1170.4108414034206,94.61942090780872,0.95,Policy Capability Score (95% interval),zoib,0.7683465660464042,Average Scene Score,18,23,5,Rank Spread,0.3299909748735539,Average Distance Between At-Fault Incidents,0.3299909748735539,avg_dist_between_incidents_at_fault,1.5874374835820795,Distance to GT Trajectory,1123,1123,042-nuplan-0062-v1,5edecfbc-62e4-44c4-92b7-8ae3fa0c8539,,submission,SUCCEEDED,,direct-p5,2026-09-17T05:34:03+00:00
22,opendrivelab-org,OpenDriveLab-Org (host),nuplan,1098,Policy Capability Score,1054.6447372148923,1140.5780550272752,85.93331781238294,0.95,Policy Capability Score (95% interval),zoib,0.7717404563043919,Average Scene Score,18,25,7,Rank Spread,0.2672973850400068,Average Distance Between At-Fault Incidents,0.2672973850400068,avg_dist_between_incidents_at_fault,2.15787865583756,Distance to GT Trajectory,1098,1098,simscale-diffusiondrive-release-v0,85d42611-2eec-40ac-afbf-a5271d609269,,submission,SUCCEEDED,,direct-p5,2026-09-15T11:19:32+00:00
23,py123d-garage,py123d-garage (host),nuplan,1062,Policy Capability Score,1019.5183264977569,1104.8718443478083,85.35351785005139,0.95,Policy Capability Score (95% interval),zoib,0.7400976810315656,Average Scene Score,21,28,7,Rank Spread,0.28954036396427485,Average Distance Between At-Fault Incidents,0.28954036396427485,avg_dist_between_incidents_at_fault,1.7996791896155313,Distance to GT Trajectory,1062,1062,029-nuplan-0062-v1,91f8d118-d685-4540-befd-7446596665b5,,submission,SUCCEEDED,,direct-p5,2026-09-17T02:51:03+00:00
24,team-dwjh,114514,nuplan,1019,Policy Capability Score,983.3716691518401,1055.1179906007947,71.74632144895452,0.95,Policy Capability Score (95% interval),zoib,0.7748977659923368,Average Scene Score,25,29,4,Rank Spread,0.7212536480761979,Average Distance Between At-Fault Incidents,0.7212536480761979,avg_dist_between_incidents_at_fault,1.8821858466041697,Distance to GT Trajectory,1019,1019,scene_token_driver-nav2-20260918,e456224b-ab2e-484f-be2f-1aae1bf182e1,,submission,SUCCEEDED,,direct-p5,2026-09-18T17:31:37+00:00
25,team-lucifer,Lucifer AI,nuplan,1054,Policy Capability Score,1009.1935226411902,1097.86511925688,88.67159661568985,0.95,Policy Capability Score (95% interval),zoib,0.7617803029539043,Average Scene Score,22,29,7,Rank Spread,0.6258684278244131,Average Distance Between At-Fault Incidents,0.6258684278244131,avg_dist_between_incidents_at_fault,1.8465929520734057,Distance to GT Trajectory,1054,1054,wajepa-s2-20260904,1340e69a-ac0f-4a1f-96a3-507b315c51aa,,submission,SUCCEEDED,,direct-p5,2026-09-10T06:09:06+00:00
26,opendrivelab-org,OpenDriveLab-Org (host),nuplan,1047,Policy Capability Score,1007.0967459145089,1087.628490141124,80.53174422661516,0.95,Policy Capability Score (95% interval),zoib,0.7614072785558622,Average Scene Score,22,29,7,Rank Spread,0.4111858989656389,Average Distance Between At-Fault Incidents,0.4111858989656389,avg_dist_between_incidents_at_fault,2.1741930906041476,Distance to GT Trajectory,1047,1047,simscale-gtrs-dense-release-v1-epdms-speedoff,c71eb248-b49a-44bd-89a6-e95c99cdb3df,,submission,SUCCEEDED,,direct-p5,2026-09-17T10:15:05+00:00
27,host,Host (host),nuplan,1040,Policy Capability Score,1000.9653422265037,1079.5337154759843,78.5683732494806,0.95,Policy Capability Score (95% interval),zoib,0.7346473146798619,Average Scene Score,23,29,6,Rank Spread,0.2950190460738194,Average Distance Between At-Fault Incidents,0.2950190460738194,avg_dist_between_incidents_at_fault,2.280350012888658,Distance to GT Trajectory,1040,1040,policy5,e4e7b293-b976-452b-b962-a1d839c4119d,,submission,SUCCEEDED,,direct-p5,2026-09-02T21:40:31+00:00
28,opendrivelab-org,OpenDriveLab-Org (host),nuplan,1044,Policy Capability Score,1003.9681096940367,1083.8585922646716,79.89048257063496,0.95,Policy Capability Score (95% interval),zoib,0.7377141862184683,Average Scene Score,22,29,7,Rank Spread,0.270347994186716,Average Distance Between At-Fault Incidents,0.270347994186716,avg_dist_between_incidents_at_fault,2.265624642940421,Distance to GT Trajectory,1044,1044,simscale-lft-release-v0,f6b127cc-9d1e-42cf-8c1d-aaf2b42f834c,,submission,SUCCEEDED,,direct-p5,2026-09-15T10:54:04+00:00
29,one-wam2,wam-cbf,nuplan,1040,Policy Capability Score,999.4112598239669,1081.4501021280037,82.03884230403673,0.95,Policy Capability Score (95% interval),zoib,0.6499272802746165,Average Scene Score,23,29,6,Rank Spread,0.08368082777881475,Average Distance Between At-Fault Incidents,0.08368082777881475,avg_dist_between_incidents_at_fault,2.0610900682796927,Distance to GT Trajectory,1040,1040,step32250-nuplan-v1,a8244e5f-a96e-4ea8-9a2c-87d8123cea44,,submission,SUCCEEDED,,direct-p5,2026-09-21T17:15:42+00:00
30,opendrivelab-org,OpenDriveLab-Org (host),nuplan,940,Policy Capability Score,904.6207192501408,974.6112283893028,69.99050913916199,0.95,Policy Capability Score (95% interval),zoib,0.6753248896298676,Average Scene Score,30,32,2,Rank Spread,0.2670488192246034,Average Distance Between At-Fault Incidents,0.2670488192246034,avg_dist_between_incidents_at_fault,2.9155571503043936,Distance to GT Trajectory,940,940,simscale-gtrs-dense-release-v1-speedoff-reward,2665c592-6c00-4043-a798-0521609522d1,,submission,SUCCEEDED,,direct-p5,2026-09-17T04:16:02+00:00
31,one-wam,wam-cbf,nuplan,929,Policy Capability Score,892.1672651895801,964.9468750481599,72.77960985857976,0.95,Policy Capability Score (95% interval),zoib,0.6157150906485469,Average Scene Score,30,33,3,Rank Spread,0.08512060457670183,Average Distance Between At-Fault Incidents,0.08512060457670183,avg_dist_between_incidents_at_fault,2.419047801294115,Distance to GT Trajectory,929,929,drivewam-nuplan-8e123c8-step30000-20260916-205807,d5163c11-7358-4cd9-8fa8-ab6bdcba9b57,,submission,SUCCEEDED,,direct-p5,2026-09-17T03:49:35+00:00
32,team-dwjh,114514,nuplan,889,Policy Capability Score,853.5280111641722,923.9097019115293,70.38169074735708,0.95,Policy Capability Score (95% interval),zoib,0.6372298491359998,Average Scene Score,31,34,3,Rank Spread,0.21554819812611362,Average Distance Between At-Fault Incidents,0.21554819812611362,avg_dist_between_incidents_at_fault,3.333197505799643,Distance to GT Trajectory,889,889,version2,788a04af-1dd1-404c-a4f0-f92075405d67,,submission,SUCCEEDED,,direct-p5,2026-09-21T19:47:39+00:00
33,symphi,SymPhi,nuplan,919,Policy Capability Score,884.5168269250438,954.2673147564615,69.75048783141767,0.95,Policy Capability Score (95% interval),zoib,0.6520642712836671,Average Scene Score,30,34,4,Rank Spread,0.1451376683168359,Average Distance Between At-Fault Incidents,0.1451376683168359,avg_dist_between_incidents_at_fault,2.534342071094817,Distance to GT Trajectory,919,919,vavam-nav-brake4-v2,91777e54-e1ff-442b-bac2-08dce9652427,,submission,SUCCEEDED,,direct-p5,2026-09-17T01:54:32+00:00
34,symphi,SymPhi,nuplan,884,Policy Capability Score,848.846817046361,918.7687486690247,69.92193162266369,0.95,Policy Capability Score (95% interval),zoib,0.6286787509196711,Average Scene Score,32,35,3,Rank Spread,0.15709685721865002,Average Distance Between At-Fault Incidents,0.15709685721865002,avg_dist_between_incidents_at_fault,2.9734294564003587,Distance to GT Trajectory,884,884,vavam-nav-medoid-v1,8598ad07-510a-4742-aee6-77248c08b44b,,submission,SUCCEEDED,,direct-p5,2026-09-11T04:24:10+00:00
35,player67,player67,nuplan,833,Policy Capability Score,805.0554829693904,860.1078915914643,55.052408622073926,0.95,Policy Capability Score (95% interval),zoib,0.5541988057480551,Average Scene Score,35,42,7,Rank Spread,0.0590912355062724,Average Distance Between At-Fault Incidents,0.0590912355062724,avg_dist_between_incidents_at_fault,1.8330309264659796,Distance to GT Trajectory,833,833,roadweaver-20260829-01,63bb0333-f5b1-473e-975a-e09f7453f592,,submission,SUCCEEDED,,direct-p5,2026-09-18T11:20:05+00:00
36,opendrivelab-org,OpenDriveLab-Org (host),nuplan,827,Policy Capability Score,800.2496375269831,852.9384157960835,52.68877826910045,0.95,Policy Capability Score (95% interval),zoib,0.5847610139310059,Average Scene Score,35,43,8,Rank Spread,0.1014835435823574,Average Distance Between At-Fault Incidents,0.1014835435823574,avg_dist_between_incidents_at_fault,2.2692452760691886,Distance to GT Trajectory,827,827,worldengine-simevo-rl-pretrain,8f58f9d7-cfaa-414b-8358-3b1b5fcaa7d5,,submission,SUCCEEDED,,direct-p5,2026-09-16T23:57:39+00:00
37,symphi,SymPhi,nuplan,830,Policy Capability Score,797.4950373821547,863.4987313266379,66.00369394448319,0.95,Policy Capability Score (95% interval),zoib,0.568973623398206,Average Scene Score,35,44,9,Rank Spread,0.12400483448637477,Average Distance Between At-Fault Incidents,0.12400483448637477,avg_dist_between_incidents_at_fault,4.141382412416869,Distance to GT Trajectory,830,830,vavam-gain1075-v1,4d832b4c-1402-4fa8-ad36-3a5457684382,,submission,SUCCEEDED,,direct-p5,2026-09-16T13:20:33+00:00
38,opendrivelab-org,OpenDriveLab-Org (host),nuplan,816,Policy Capability Score,782.821426320489,848.7085731982559,65.8871468777669,0.95,Policy Capability Score (95% interval),zoib,0.5638980177819364,Average Scene Score,35,46,11,Rank Spread,0.14184643969907668,Average Distance Between At-Fault Incidents,0.14184643969907668,avg_dist_between_incidents_at_fault,3.8578702075304165,Distance to GT Trajectory,816,816,simscale-gtrs-dense-v0-fixed,44276ced-ec0d-48c0-8f71-3a28f7c3f16b,,submission,SUCCEEDED,,direct-p5,2026-09-17T01:25:33+00:00
39,opendrivelab-org,OpenDriveLab-Org (host),nuplan,814,Policy Capability Score,780.6462888116497,847.6695752819063,67.02328647025661,0.95,Policy Capability Score (95% interval),zoib,0.5628980177819364,Average Scene Score,35,46,11,Rank Spread,0.1418416016917,Average Distance Between At-Fault Incidents,0.1418416016917,avg_dist_between_incidents_at_fault,3.8578559876087732,Distance to GT Trajectory,814,814,simscale-gtrs-dense-v0-fixed,087251c0-2e56-4cb3-872b-ce1252e6e6bb,,submission,SUCCEEDED,,direct-p5,2026-09-17T00:59:33+00:00
40,team-lucifer,Lucifer AI,nuplan,817,Policy Capability Score,783.6514107480153,850.7203501644443,67.06893941642898,0.95,Policy Capability Score (95% interval),zoib,0.549,Average Scene Score,35,46,11,Rank Spread,0.10566226194110755,Average Distance Between At-Fault Incidents,0.10566226194110755,avg_dist_between_incidents_at_fault,3.692770570118134,Distance to GT Trajectory,817,817,vavam-stock-20260829,621596ec-22e1-4649-a594-2dc8046b9e45,,submission,SUCCEEDED,,direct-p5,2026-09-16T16:59:03+00:00
41,opendrivelab-org,OpenDriveLab-Org (host),nuplan,784,Policy Capability Score,750.774830487744,816.754120857364,65.97929036962,0.95,Policy Capability Score (95% interval),zoib,0.526143061595735,Average Scene Score,39,47,8,Rank Spread,0.12091782796012691,Average Distance Between At-Fault Incidents,0.12091782796012691,avg_dist_between_incidents_at_fault,4.017366298718599,Distance to GT Trajectory,784,784,simscale-gtrs-dense-release-v0,c19dcb9c-63bb-4126-8647-4306604adebb,,submission,SUCCEEDED,,direct-p5,2026-09-15T11:47:05+00:00
42,host,Host (host),nuplan,808,Policy Capability Score,775.1357991093255,841.7320607491855,66.59626163986002,0.95,Policy Capability Score (95% interval),zoib,0.549912772704655,Average Scene Score,35,47,12,Rank Spread,0.11531538179701006,Average Distance Between At-Fault Incidents,0.11531538179701006,avg_dist_between_incidents_at_fault,3.720477103074672,Distance to GT Trajectory,808,808,policy_4,fe2ca883-a106-462e-9150-ad4c99fa1394,,submission,SUCCEEDED,,direct-p5,2026-09-09T12:40:11+00:00
43,alpain-autonomy,Alpain Autonomy (host),nuplan,808,Policy Capability Score,774.5323009683467,840.7259111689073,66.19361020056056,0.95,Policy Capability Score (95% interval),zoib,0.5448335086762655,Average Scene Score,35,47,12,Rank Spread,0.11344581308394001,Average Distance Between At-Fault Incidents,0.11344581308394001,avg_dist_between_incidents_at_fault,3.6904605701852926,Distance to GT Trajectory,808,808,mars-v0-2hz-nuplan,ed1ad237-1b81-4a26-b5d3-792a0e2ab726,,submission,SUCCEEDED,,direct-p5,2026-09-08T18:11:41+00:00
44,one-wam,wam-cbf,nuplan,811,Policy Capability Score,778.5571425733535,844.2767695494628,65.71962697610923,0.95,Policy Capability Score (95% interval),zoib,0.5529118850909317,Average Scene Score,35,47,12,Rank Spread,0.11120677990265306,Average Distance Between At-Fault Incidents,0.11120677990265306,avg_dist_between_incidents_at_fault,3.7175002480481116,Distance to GT Trajectory,811,811,vavam-0bb4c4b-20260916-121510,f9c094f9-853b-486a-a727-071cfb404356,,submission,SUCCEEDED,,direct-p5,2026-09-17T02:21:31+00:00
45,metamon,메타몽,nuplan,796,Policy Capability Score,763.6581390050295,828.3493069740839,64.69116796905439,0.95,Policy Capability Score (95% interval),zoib,0.5346956320525788,Average Scene Score,37,47,10,Rank Spread,0.09969387729617186,Average Distance Between At-Fault Incidents,0.09969387729617186,avg_dist_between_incidents_at_fault,3.7071584531749098,Distance to GT Trajectory,796,796,vavam-nuplan-pure-v25-20260921,80036445-0c75-4b07-ad9f-0ac1a1c57d9a,,submission,SUCCEEDED,,direct-p5,2026-09-21T04:12:06+00:00
46,opendrivelab-org,OpenDriveLab-Org (host),nuplan,796,Policy Capability Score,770.7985225137278,820.3211444577337,49.52262194400589,0.95,Policy Capability Score (95% interval),zoib,0.5542652778198103,Average Scene Score,39,47,8,Rank Spread,0.08659962880880613,Average Distance Between At-Fault Incidents,0.08659962880880613,avg_dist_between_incidents_at_fault,2.286359276563289,Distance to GT Trajectory,796,796,worldengine-vadv2-rl-pretrain-v0,e6e980e4-c972-48af-b635-4c8a553eee1e,,submission,SUCCEEDED,,direct-p5,2026-09-15T06:30:10+00:00
47,opendrivelab-org,OpenDriveLab-Org (host),nuplan,793,Policy Capability Score,768.133193790018,817.844645374523,49.71145158450497,0.95,Policy Capability Score (95% interval),zoib,0.5455166786466246,Average Scene Score,39,47,8,Rank Spread,0.08295988141975716,Average Distance Between At-Fault Incidents,0.08295988141975716,avg_dist_between_incidents_at_fault,2.3827262448713693,Distance to GT Trajectory,793,793,worldengine-vadv2-v0,7d72022f-7fe3-4723-a4df-60acd9024762,,submission,SUCCEEDED,,direct-p5,2026-09-17T00:31:06+00:00
48,team-mxr,mxr,nuplan,671,Policy Capability Score,638.6582371474728,703.0105168830388,64.35227973556596,0.95,Policy Capability Score (95% interval),zoib,0.36355583116643986,Average Scene Score,48,50,2,Rank Spread,0.042945865141905855,Average Distance Between At-Fault Incidents,0.042945865141905855,avg_dist_between_incidents_at_fault,3.0053239383837203,Distance to GT Trajectory,671,671,v3b,c9c0f79f-9bfd-49a0-b0b9-cb353f22ef61,,submission,SUCCEEDED,,direct-p5,2026-09-21T16:08:05+00:00
49,team-mxr,mxr,nuplan,666,Policy Capability Score,633.5279745203329,698.580419531354,65.05244501102106,0.95,Policy Capability Score (95% interval),zoib,0.3600068028893803,Average Scene Score,48,50,2,Rank Spread,0.04285128848781451,Average Distance Between At-Fault Incidents,0.04285128848781451,avg_dist_between_incidents_at_fault,3.0405141365192123,Distance to GT Trajectory,666,666,v6-camera,c93a8208-4830-4b57-a238-e2943224cc42,,submission,SUCCEEDED,,direct-p5,2026-09-19T13:59:06+00:00
50,metamon,메타몽,nuplan,666,Policy Capability Score,628.6077873305974,703.1723368332218,74.56454950262446,0.95,Policy Capability Score (95% interval),zoib,0.3645909705128918,Average Scene Score,48,51,3,Rank Spread,0.04419279473356408,Average Distance Between At-Fault Incidents,0.04419279473356408,avg_dist_between_incidents_at_fault,3.511140088367669,Distance to GT Trajectory,666,666,vavam-route-cudagraph-v5-nuplan-20260715,d6645898-c03d-4912-99fb-e459f7acd64c,,submission,SUCCEEDED,,direct-p5,2026-09-21T16:35:33+00:00
