rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,policy_capability_score_lo,policy_capability_score_hi,policy_capability_score_spread,policy_capability_score_interval_confidence_level,policy_capability_score_interval_label,metric_algorithm,average_scene_score,average_scene_score_label,rank_lo,rank_hi,rank_spread,rank_spread_label,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,benchmark_id,record_kind,status,failure_code,evaluation_backend,submitted_at
1,py123d-garage,py123d-garage (host),nuplan,1784,Policy Capability Score,1713.216448496028,1854.1523603975666,140.93591190153847,0.95,Policy Capability Score (95% interval),zoib,0.8951153394975933,Average Scene Score,1,4,3,Rank Spread,0.4522256576867667,Average Distance Between At-Fault Incidents,0.4522256576867667,avg_dist_between_incidents_at_fault,0.7389647708449911,Distance to GT Trajectory,1784,1784,044-hist02-single-0062-v1,b44a232f-1d66-4b44-a9dd-22cd1a0d3a65,,submission,SUCCEEDED,,direct-p5,2026-09-18T02:53:03+00:00
2,py123d-garage,py123d-garage (host),nuplan,1800,Policy Capability Score,1717.9789341916764,1882.7197712320685,164.74083704039208,0.95,Policy Capability Score (95% interval),zoib,0.8955052334301024,Average Scene Score,1,4,3,Rank Spread,0.4351609985261305,Average Distance Between At-Fault Incidents,0.4351609985261305,avg_dist_between_incidents_at_fault,0.7487421975536878,Distance to GT Trajectory,1800,1800,044-hist05-single-0062-v1,e6fcfaac-5ec5-46b6-9a18-b78e188073f6,,submission,SUCCEEDED,,direct-p5,2026-09-18T03:19:32+00:00
3,py123d-garage,py123d-garage (host),nuplan,1743,Policy Capability Score,1659.6913569325902,1826.8297961546614,167.13843922207116,0.95,Policy Capability Score (95% interval),zoib,0.8839437652507727,Average Scene Score,1,6,5,Rank Spread,0.3835885519709481,Average Distance Between At-Fault Incidents,0.3835885519709481,avg_dist_between_incidents_at_fault,0.7655775841591098,Distance to GT Trajectory,1743,1743,044-hist01-0062-v1,69e18d8a-12b8-456d-96d4-7285252ec92d,,submission,SUCCEEDED,,direct-p5,2026-09-18T03:46:03+00:00
4,py123d-garage,py123d-garage (host),nuplan,1670,Policy Capability Score,1600.7275507521476,1738.7981781087215,138.07062735657382,0.95,Policy Capability Score (95% interval),zoib,0.888288143271257,Average Scene Score,3,8,5,Rank Spread,0.3729043463775304,Average Distance Between At-Fault Incidents,0.3729043463775304,avg_dist_between_incidents_at_fault,0.6593757705221148,Distance to GT Trajectory,1670,1670,021-nuplan-0062-v1,d7e190df-ceaf-4ec3-8ce8-49571baaec93,,submission,SUCCEEDED,,direct-p5,2026-09-12T07:11:08+00:00
5,py123d-garage,py123d-garage (host),nuplan,1698,Policy Capability Score,1613.29993171792,1782.5475219612754,169.2475902433555,0.95,Policy Capability Score (95% interval),zoib,0.8743799515922005,Average Scene Score,2,8,6,Rank Spread,0.32593022323159415,Average Distance Between At-Fault Incidents,0.32593022323159415,avg_dist_between_incidents_at_fault,1.268473124399826,Distance to GT Trajectory,1698,1698,044-hist10-single-0062-v1,a4633257-37a2-47d4-b7c3-864b8e4f1829,,submission,SUCCEEDED,,direct-p5,2026-09-18T04:12:02+00:00
6,py123d-garage,py123d-garage (host),nuplan,1656,Policy Capability Score,1573.222240401548,1739.50794295665,166.2857025551018,0.95,Policy Capability Score (95% interval),zoib,0.8866261150678899,Average Scene Score,3,9,6,Rank Spread,0.37044870572455246,Average Distance Between At-Fault Incidents,0.37044870572455246,avg_dist_between_incidents_at_fault,0.74697692456469,Distance to GT Trajectory,1656,1656,028-nuplan-0062-v3,190e0356-8d89-4072-b8c8-59007b426d53,,submission,SUCCEEDED,,direct-p5,2026-09-17T22:49:03+00:00
7,py123d-garage,py123d-garage (host),nuplan,1600,Policy Capability Score,1522.8199592544188,1677.180040745581,154.3600814911622,0.95,Policy Capability Score (95% interval),zoib,0.8748046294060066,Average Scene Score,5,10,5,Rank Spread,0.3389699891434003,Average Distance Between At-Fault Incidents,0.3389699891434003,avg_dist_between_incidents_at_fault,0.7429883750166048,Distance to GT Trajectory,1600,1600,007-nuplan-0062-v1,74fd4513-845c-40cd-9749-e73a12ef74ed,,submission,SUCCEEDED,,direct-p5,2026-09-04T14:43:34+00:00
8,py123d-garage,py123d-garage (host),nuplan,1623,Policy Capability Score,1546.79050126449,1699.413808856305,152.62330759181486,0.95,Policy Capability Score (95% interval),zoib,0.8793366959499076,Average Scene Score,4,10,6,Rank Spread,0.3093136130033419,Average Distance Between At-Fault Incidents,0.3093136130033419,avg_dist_between_incidents_at_fault,0.7335171215042084,Distance to GT Trajectory,1623,1623,026-nuplan-0062-v3,63c95139-7206-4964-92fd-924e118b6de0,,submission,SUCCEEDED,,direct-p5,2026-09-17T21:52:06+00:00
9,py123d-garage,py123d-garage (host),nuplan,1610,Policy Capability Score,1539.5208329568381,1681.403307762157,141.8824748053189,0.95,Policy Capability Score (95% interval),zoib,0.8697153439890247,Average Scene Score,5,10,5,Rank Spread,0.29454290293370344,Average Distance Between At-Fault Incidents,0.29454290293370344,avg_dist_between_incidents_at_fault,0.6665107192587156,Distance to GT Trajectory,1610,1610,030-nuplan-0062-v1,106bab67-3892-4f16-8bce-926ccd44f183,,submission,SUCCEEDED,,direct-p5,2026-09-17T03:17:32+00:00
10,py123d-garage,py123d-garage (host),nuplan,1565,Policy Capability Score,1484.3108383381546,1645.679771412074,161.36893307391938,0.95,Policy Capability Score (95% interval),zoib,0.8654173244083535,Average Scene Score,6,11,5,Rank Spread,0.29961020500763663,Average Distance Between At-Fault Incidents,0.29961020500763663,avg_dist_between_incidents_at_fault,0.799240089443876,Distance to GT Trajectory,1565,1565,027-nuplan-0062-v3,e7f68dd1-a1e0-4cde-8d77-d5ad1ef324c2,,submission,SUCCEEDED,,direct-p5,2026-09-17T22:22:05+00:00
